Gmt time,Open,High,Low,Close,Volume
07.01.2020 05:00:00.000,0.69270,0.69310,0.69117,0.69124,3820.6299
07.01.2020 06:00:00.000,0.69123,0.69193,0.69046,0.69129,6634.5898
07.01.2020 07:00:00.000,0.69130,0.69174,0.68979,0.69000,4881.1899
07.01.2020 08:00:00.000,0.69003,0.69124,0.68991,0.69055,7091.6201
07.01.2020 09:00:00.000,0.69056,0.69081,0.68893,0.68925,4858.8901
07.01.2020 10:00:00.000,0.68924,0.68934,0.68768,0.68790,4195.3799
07.01.2020 11:00:00.000,0.68792,0.68800,0.68698,0.68760,3422.3401
07.01.2020 12:00:00.000,0.68764,0.68832,0.68750,0.68755,3553.98
07.01.2020 13:00:00.000,0.68754,0.68791,0.68648,0.68663,5913.8799
07.01.2020 14:00:00.000,0.68662,0.68693,0.68633,0.68651,5478.8101
07.01.2020 15:00:00.000,0.68651,0.68724,0.68614,0.68684,7125.0898
07.01.2020 16:00:00.000,0.68681,0.68710,0.68598,0.68598,3394.1899
07.01.2020 17:00:00.000,0.68597,0.68685,0.68587,0.68681,3112.55
07.01.2020 18:00:00.000,0.68681,0.68708,0.68666,0.68667,2033.41
07.01.2020 19:00:00.000,0.68667,0.68687,0.68644,0.68683,2231.1399
07.01.2020 20:00:00.000,0.68685,0.68700,0.68668,0.68676,2271.55
07.01.2020 21:00:00.000,0.68679,0.68691,0.68611,0.68683,1637.52
07.01.2020 22:00:00.000,0.68683,0.68701,0.68641,0.68673,1400.47
07.01.2020 23:00:00.000,0.68675,0.68681,0.68498,0.68594,5545.6299
08.01.2020 00:00:00.000,0.68592,0.68642,0.68496,0.68590,13192.7305
08.01.2020 01:00:00.000,0.68589,0.68726,0.68567,0.68650,10860.1699
08.01.2020 02:00:00.000,0.68652,0.68837,0.68641,0.68762,9996.4297
08.01.2020 03:00:00.000,0.68762,0.68804,0.68658,0.68711,6690.54
08.01.2020 04:00:00.000,0.68711,0.68756,0.68669,0.68692,2543.2
08.01.2020 05:00:00.000,0.68692,0.68723,0.68671,0.68691,2404.4199
08.01.2020 06:00:00.000,0.68693,0.68755,0.68690,0.68703,2489.6299
08.01.2020 07:00:00.000,0.68705,0.68851,0.68700,0.68816,5411.4902
08.01.2020 08:00:00.000,0.68816,0.68845,0.68720,0.68752,7637.9902
08.01.2020 09:00:00.000,0.68752,0.68773,0.68699,0.68718,4168.5
08.01.2020 10:00:00.000,0.68718,0.68730,0.68638,0.68668,5251.6602
08.01.2020 11:00:00.000,0.68668,0.68715,0.68668,0.68705,3744.8301
08.01.2020 12:00:00.000,0.68705,0.68726,0.68586,0.68622,4819.7002
08.01.2020 13:00:00.000,0.68621,0.68685,0.68574,0.68670,4916.2998
08.01.2020 14:00:00.000,0.68670,0.68678,0.68556,0.68573,4107.27
08.01.2020 15:00:00.000,0.68573,0.68600,0.68487,0.68546,4143.6602
08.01.2020 16:00:00.000,0.68546,0.68736,0.68488,0.68692,6004.6099
08.01.2020 17:00:00.000,0.68692,0.68788,0.68692,0.68754,4330.8901
08.01.2020 18:00:00.000,0.68754,0.68762,0.68705,0.68711,2361.6599
08.01.2020 19:00:00.000,0.68711,0.68722,0.68687,0.68712,2062.4099
08.01.2020 20:00:00.000,0.68714,0.68717,0.68644,0.68654,2713.1599
08.01.2020 21:00:00.000,0.68656,0.68718,0.68644,0.68644,1414.34
08.01.2020 22:00:00.000,0.68644,0.68706,0.68632,0.68648,956.8
08.01.2020 23:00:00.000,0.68645,0.68754,0.68624,0.68749,2030.02
09.01.2020 00:00:00.000,0.68749,0.68787,0.68713,0.68731,3886.71
09.01.2020 01:00:00.000,0.68731,0.68802,0.68684,0.68741,4619.4702
09.01.2020 02:00:00.000,0.68739,0.68762,0.68704,0.68740,2818.3799
09.01.2020 03:00:00.000,0.68739,0.68747,0.68691,0.68706,2361.9299
09.01.2020 04:00:00.000,0.68706,0.68724,0.68662,0.68718,1759.22
09.01.2020 05:00:00.000,0.68718,0.68752,0.68706,0.68750,2295.6599
09.01.2020 06:00:00.000,0.68750,0.68764,0.68708,0.68756,2767.78
09.01.2020 07:00:00.000,0.68757,0.68777,0.68728,0.68750,2869.3101
09.01.2020 08:00:00.000,0.68749,0.68750,0.68623,0.68627,4809.9199
09.01.2020 09:00:00.000,0.68627,0.68641,0.68538,0.68573,4946.8101
09.01.2020 10:00:00.000,0.68573,0.68627,0.68546,0.68622,3212.3799
09.01.2020 11:00:00.000,0.68622,0.68653,0.68574,0.68577,2758.6499
09.01.2020 12:00:00.000,0.68577,0.68673,0.68564,0.68606,4480.9302
09.01.2020 13:00:00.000,0.68607,0.68666,0.68583,0.68642,3382.6799
09.01.2020 14:00:00.000,0.68642,0.68643,0.68537,0.68613,4085.5
09.01.2020 15:00:00.000,0.68614,0.68615,0.68507,0.68533,4008.3701
09.01.2020 16:00:00.000,0.68533,0.68560,0.68506,0.68555,3316.3101
09.01.2020 17:00:00.000,0.68555,0.68559,0.68500,0.68516,2252.7
09.01.2020 18:00:00.000,0.68516,0.68545,0.68508,0.68522,2664.6899
09.01.2020 19:00:00.000,0.68522,0.68527,0.68505,0.68506,1384.53
09.01.2020 20:00:00.000,0.68508,0.68554,0.68505,0.68553,1308.24
09.01.2020 21:00:00.000,0.68553,0.68583,0.68546,0.68582,488.79
09.01.2020 22:00:00.000,0.68578,0.68579,0.68522,0.68528,1611.6801
09.01.2020 23:00:00.000,0.68529,0.68562,0.68518,0.68529,1536.87
10.01.2020 00:00:00.000,0.68531,0.68716,0.68505,0.68583,5341.8999
10.01.2020 01:00:00.000,0.68583,0.68640,0.68542,0.68545,3872.98
10.01.2020 02:00:00.000,0.68545,0.68632,0.68531,0.68626,2468.8999
10.01.2020 03:00:00.000,0.68626,0.68692,0.68598,0.68690,1900.8101
10.01.2020 04:00:00.000,0.68691,0.68767,0.68683,0.68719,2518.52
10.01.2020 05:00:00.000,0.68719,0.68795,0.68702,0.68785,2471.8899
10.01.2020 06:00:00.000,0.68785,0.68822,0.68775,0.68780,2092.6299
10.01.2020 07:00:00.000,0.68781,0.68785,0.68714,0.68773,2906
10.01.2020 08:00:00.000,0.68773,0.68775,0.68700,0.68722,4274.3198
10.01.2020 09:00:00.000,0.68721,0.68774,0.68698,0.68761,3752.8101
10.01.2020 10:00:00.000,0.68761,0.68770,0.68733,0.68769,2558.53
10.01.2020 11:00:00.000,0.68770,0.68873,0.68756,0.68829,2841.98
10.01.2020 12:00:00.000,0.68830,0.68830,0.68767,0.68771,2900.9299
10.01.2020 13:00:00.000,0.68772,0.68918,0.68730,0.68789,6872.9199
10.01.2020 14:00:00.000,0.68788,0.68896,0.68761,0.68887,5595.3101
10.01.2020 15:00:00.000,0.68888,0.69068,0.68850,0.69053,6216.0498
10.01.2020 16:00:00.000,0.69054,0.69054,0.68941,0.69012,4256.9102
10.01.2020 17:00:00.000,0.69014,0.69109,0.68980,0.69053,3648.8101
10.01.2020 18:00:00.000,0.69053,0.69066,0.69030,0.69030,1712.03
10.01.2020 19:00:00.000,0.69031,0.69101,0.69029,0.69090,1783.45
10.01.2020 20:00:00.000,0.69090,0.69091,0.69039,0.69056,2420.99
10.01.2020 21:00:00.000,0.69056,0.69060,0.68966,0.68981,1594.08
10.01.2020 22:00:00.000,0.68981,0.68981,0.68981,0.68981,0
10.01.2020 23:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 00:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 01:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 02:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 03:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 04:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 05:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 06:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 07:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 08:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 09:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 10:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 11:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 12:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 13:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 14:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 15:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 16:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 17:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 18:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 19:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 20:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 21:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 22:00:00.000,0.68981,0.68981,0.68981,0.68981,0
11.01.2020 23:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 00:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 01:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 02:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 03:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 04:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 05:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 06:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 07:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 08:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 09:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 10:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 11:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 12:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 13:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 14:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 15:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 16:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 17:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 18:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 19:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 20:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 21:00:00.000,0.68981,0.68981,0.68981,0.68981,0
12.01.2020 22:00:00.000,0.68967,0.68990,0.68932,0.68960,644.07
12.01.2020 23:00:00.000,0.68963,0.69054,0.68962,0.68996,2425.6399
13.01.2020 00:00:00.000,0.68994,0.69041,0.68973,0.69034,2811.22
13.01.2020 01:00:00.000,0.69034,0.69130,0.69025,0.69121,3629.5
13.01.2020 02:00:00.000,0.69120,0.69147,0.69086,0.69144,3621.71
13.01.2020 03:00:00.000,0.69146,0.69195,0.69136,0.69162,3480.2
13.01.2020 04:00:00.000,0.69162,0.69173,0.69128,0.69128,1376.5601
13.01.2020 05:00:00.000,0.69128,0.69183,0.69125,0.69167,1968.9301
13.01.2020 06:00:00.000,0.69167,0.69182,0.69128,0.69161,2268.99
13.01.2020 07:00:00.000,0.69163,0.69184,0.69113,0.69144,3288.5701
13.01.2020 08:00:00.000,0.69144,0.69171,0.69059,0.69102,4673.8198
13.01.2020 09:00:00.000,0.69102,0.69142,0.69045,0.69050,4609.3701
13.01.2020 10:00:00.000,0.69049,0.69049,0.68945,0.68983,2729.49
13.01.2020 11:00:00.000,0.68982,0.69027,0.68971,0.68997,2083.22
13.01.2020 12:00:00.000,0.68997,0.69037,0.68962,0.69011,2966.8701
13.01.2020 13:00:00.000,0.69010,0.69081,0.69005,0.69071,3730.8401
13.01.2020 14:00:00.000,0.69071,0.69090,0.68943,0.68991,5546.0298
13.01.2020 15:00:00.000,0.68990,0.69092,0.68990,0.69039,4972.1001
13.01.2020 16:00:00.000,0.69040,0.69165,0.69040,0.69100,3284.29
13.01.2020 17:00:00.000,0.69100,0.69126,0.69093,0.69115,2353.5
13.01.2020 18:00:00.000,0.69116,0.69147,0.69095,0.69096,2025.21
13.01.2020 19:00:00.000,0.69095,0.69095,0.69048,0.69055,2050.8301
13.01.2020 20:00:00.000,0.69056,0.69065,0.69033,0.69049,1550.5699
13.01.2020 21:00:00.000,0.69049,0.69056,0.69014,0.69028,891.59
13.01.2020 22:00:00.000,0.69028,0.69068,0.69003,0.69010,1212.09
13.01.2020 23:00:00.000,0.69009,0.69016,0.68968,0.68970,1930.65
14.01.2020 00:00:00.000,0.68969,0.69079,0.68966,0.69043,3412.3899
14.01.2020 01:00:00.000,0.69048,0.69051,0.68848,0.68890,5486.5898
14.01.2020 02:00:00.000,0.68889,0.68971,0.68871,0.68961,3243.5701
14.01.2020 03:00:00.000,0.68961,0.69005,0.68928,0.68987,2438.04
14.01.2020 04:00:00.000,0.68987,0.69042,0.68979,0.69005,2085.23
14.01.2020 05:00:00.000,0.69005,0.69010,0.68948,0.68960,2788.1101
14.01.2020 06:00:00.000,0.68961,0.69053,0.68956,0.69044,2904.1399
14.01.2020 07:00:00.000,0.69044,0.69053,0.68962,0.69051,3484.46
14.01.2020 08:00:00.000,0.69053,0.69094,0.68903,0.68926,5637.7798
14.01.2020 09:00:00.000,0.68926,0.69003,0.68903,0.69001,4024.3101
14.01.2020 10:00:00.000,0.69000,0.69020,0.68939,0.68977,2561.21
14.01.2020 11:00:00.000,0.68977,0.69042,0.68937,0.69036,3667.45
14.01.2020 12:00:00.000,0.69036,0.69054,0.68942,0.68982,3445.01
14.01.2020 13:00:00.000,0.68983,0.69015,0.68934,0.69011,6015.1899
14.01.2020 14:00:00.000,0.69011,0.69082,0.68986,0.69060,6093.5
14.01.2020 15:00:00.000,0.69061,0.69066,0.68964,0.69000,4665.5
14.01.2020 16:00:00.000,0.69000,0.69053,0.68994,0.69039,3242.76
14.01.2020 17:00:00.000,0.69039,0.69045,0.69015,0.69041,1778.24
14.01.2020 18:00:00.000,0.69041,0.69060,0.68972,0.69008,3160.4199
14.01.2020 19:00:00.000,0.69010,0.69051,0.68982,0.69029,1915.38
14.01.2020 20:00:00.000,0.69027,0.69045,0.69025,0.69037,1732.2
14.01.2020 21:00:00.000,0.69037,0.69051,0.68998,0.68998,936.66
14.01.2020 22:00:00.000,0.69000,0.69038,0.68987,0.68991,694.99
14.01.2020 23:00:00.000,0.68990,0.69012,0.68921,0.68944,1736.52
15.01.2020 00:00:00.000,0.68943,0.68990,0.68909,0.68952,3372.1899
15.01.2020 01:00:00.000,0.68951,0.69006,0.68942,0.68981,3420.8799
15.01.2020 02:00:00.000,0.68981,0.69011,0.68930,0.68955,2976.3
15.01.2020 03:00:00.000,0.68956,0.68973,0.68928,0.68957,2008.4399
15.01.2020 04:00:00.000,0.68958,0.68996,0.68942,0.68979,1609.1801
15.01.2020 05:00:00.000,0.68978,0.68985,0.68945,0.68978,2059.1201
15.01.2020 06:00:00.000,0.68977,0.69009,0.68955,0.68981,2127.4199
15.01.2020 07:00:00.000,0.68982,0.68988,0.68934,0.68949,2477.51
15.01.2020 08:00:00.000,0.68948,0.68952,0.68818,0.68861,4450.5898
15.01.2020 09:00:00.000,0.68862,0.68917,0.68838,0.68870,2809.8201
15.01.2020 10:00:00.000,0.68870,0.68909,0.68862,0.68898,2020.46
15.01.2020 11:00:00.000,0.68896,0.68956,0.68892,0.68945,3086.45
15.01.2020 12:00:00.000,0.68944,0.68977,0.68894,0.68904,2577.8501
15.01.2020 13:00:00.000,0.68904,0.68917,0.68771,0.68846,4864.4702
15.01.2020 14:00:00.000,0.68846,0.68977,0.68845,0.68926,5733.9702
15.01.2020 15:00:00.000,0.68926,0.69043,0.68900,0.69042,5545.0698
15.01.2020 16:00:00.000,0.69042,0.69123,0.69015,0.69093,4984.48
15.01.2020 17:00:00.000,0.69094,0.69163,0.69089,0.69093,2225.46
